event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UGA6580,2021-02-14,2021,1,Strategic developments,Strategic developments,Other,LRA: Lords Resistance Army,,Rebel group,Civilians (Uganda),,Civilians,Rebel group-Civilians,,800,Eastern Africa,Uganda,Kapelebyong,Kapelebyong,Akoromit,Angerepo,1.9976,33.8682,2,Independent (Uganda),National,"Explosive remnants of war: On 14 February 2021, a boy was killed while playing with the stick grenade in Ojokayi village, coded as Angerepo (Acowa, Kapelebyong). The Kapelebyong was one of the main districts under control of the Lord Resistance Army rebels in 2003. The rebels are suspected to have left military equipment buried underground as they fled from the area.",1,,1667868636
UGA6582,2021-02-14,2021,1,Political violence,Battles,Armed clash,Military Forces of Uganda (1986-),,State forces,Karamojong Ethnic Militia (Uganda),Pastoralists (Uganda),Identity militia,State forces-Identity militia,,800,Eastern Africa,Uganda,Moroto,Matheniko,Nadunget,Matheniko,2.5833,34.5,3,New Vision (Uganda),National,"On 14 February 2021, clashes took place between army forces and suspected Karamajong cattle rustlers in the North West of Moroto district, coded to Matheniko (Matheniko, Moroto). Several Karamajong were reportedly killed. Unknown fatalities coded as 3.",3,,1739238852
UGA6581,2021-02-14,2021,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),Farmers (Uganda),Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Luwero,Katikamu,Luwero Town Council,Luwero,0.8413,32.4933,2,URN (Uganda),National,"On 14 February 2021, unknown armed men killed a farm worker over a suspected land dispute in Kirangira village, coded to Luwero (Katikamu, Luwero).",1,,1739840237
UGA6725,2021-02-13,2021,1,Political violence,Violence against civilians,Attack,Police Forces of Uganda (1986-),,State forces,Civilians (Uganda),NUP: National Unity Platform; Labor Group (Uganda),Civilians,State forces-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Nakaseke,Nakaseke,Semuto,Semuto,0.6272,32.3133,1,Vanguard Africa; Ekyooto,Other-National,"On 13 February 2021, a Boda Boda rider with the 'Freedom Boda' group affiliated to the NUP party was killed by security forces driving in a so-called 'drone' (van) in Semuto (Nakaseke, Nakaseke).",1,,1667868636
UGA6577,2021-02-13,2021,2,Political violence,Battles,Armed clash,Military Forces of Uganda (1986-),,State forces,Matheniko Ethnic Militia (Uganda),Pastoralists (Uganda),Identity militia,State forces-Identity militia,,800,Eastern Africa,Uganda,Kaabong,Dodoth,Kaabong Town Council,Kaabong,3.5121,34.1344,2,New Vision (Uganda),National,"Around 13 February 2021 (as reported), soldiers were attacked in an ambush at Moru'angole hills in Kaabong (Dodoth, Kaabong) by suspected Matheniko cattle rustlers.",0,,1708384046
UGA6579,2021-02-13,2021,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Democratic Republic of Congo),,Political militia,Civilians (Uganda),Fishers (Uganda),Civilians,Political militia-Civilians,,800,Eastern Africa,Uganda,Kikuube,Buhaguzi,Kabwoya,Nyawaiga,1.4378,30.9054,1,Independent (Uganda),National,"Looting: On 13 February 2021, suspected Congolese militiamen raided the Lake Albert waters, robbing 3 boat engines and 3 fishing boats from Ugandan fishers near Nyawaiga landing site (Kabwoya, Kikuube).",0,,1719274346
UGA6578,2021-02-13,2021,2,Political violence,Battles,Armed clash,Military Forces of Uganda (1986-),,State forces,Karamojong Ethnic Militia (Uganda),Pastoralists (Uganda),Identity militia,State forces-Identity militia,,800,Eastern Africa,Uganda,Napak,Bokora,Lokopo,Lokopo,2.4622,34.3258,2,New Vision (Uganda),National,"Around 13 February 2021 (as reported), 2 soldiers were shot dead by suspected Karamajong cattle rustlers at Turutuko grazing ground, coded to Lokopo (Bokora, Napak).",2,,1739238852
UGA6575,2021-02-12,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,Civilians (Uganda),,Civilians,Rioters-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Mbarara,Mbarara,Kakoba Division,Kakoba,-0.6,30.679,1,URN (Uganda),National,"On 12 February 2021, two suspected boda boda thieves were killed by an angry mob in Kakoba (Mbarara Municipality, Mbarara).",2,crowd size=no report,1667943765
UGA6679,2021-02-12,2021,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),Teachers (Uganda),Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Masindi,Masindi,Central Division,Masindi,1.6744,31.715,1,Daily Monitor (Uganda),National,"On 12 February 2021, a teacher was abducted by unknown people in Masindi town (Masindi Municipality, Masindi) after he took down posters of President Museveni at the school. He was previously threatened by the District Internal Security Officer (DISO) not to take down the posters.",0,,1667943765
UGA6572,2021-02-12,2021,2,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Adjumani,East Moyo,Pakele,Pakele,3.3667,31.8667,3,New Vision (Uganda),National,"Around 12 February 2021 (as reported), an explosive device set by an unidentified armed group killed 2 people and left 2 others critically injured in Okawa village, coded to Pakele (Pakelle, Adjumani).",2,,1708988330
UGA6576,2021-02-12,2021,1,Political violence,Battles,Armed clash,Military Forces of Uganda (1986-),,State forces,Karamojong Ethnic Militia (Uganda),Pastoralists (Uganda),Identity militia,State forces-Identity militia,,800,Eastern Africa,Uganda,Moroto,Moroto,Northern Division,Moroto,2.5329,34.6575,2,New Vision (Uganda),National,"On 12 February 2021, Karamajong fighters attempted to raid a village in the Moroto municipality, coded to Moroto (Moroto Municipality, Moroto) but were intercepted by the military. One Karamajong was reportedly killed.",1,,1739238852
UGA6567,2021-02-11,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),,Rioters,Police Forces of Uganda (1986-),,State forces,State forces-Rioters,,800,Eastern Africa,Uganda,Bukwo,Kongasis,Senendet,Kapkoros,1.2473,34.7407,2,Daily Monitor (Uganda),National,"On 11 February 2021, police in Bukwo District shot 2 civilians dead after a mob armed with machetes attacked and killed 2 officers who reportedly went to Kapkoros Sub County to arrest a suspect, when residents attacked them on arrival. Location coded to Kapkoros (Kongasis, Bukwo).",4,crowd size=no report,1667868636
UGA6568,2021-02-11,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,Civilians (Uganda),,Civilians,Rioters-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kiryandongo,Kibanda,Mutunda,Karuma,2.2367,32.248,2,URN (Uganda); New Vision (Uganda),National,"On 11 February 2021, a mob of about 40 people killed 3 people in Opeche village, coded to Karuma town council (Kiryandongo, Kibanda). The incident was sparked after the body of an 11-year-old boy who went missing a week ago was found in a dam in Karuma. Residents suspected the boy was killed for ritual purposes.",3,crowd size=about 40,1667868636
UGA6571,2021-02-11,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),,Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Kampala,Kampala,Rubaga Division,Ndeeba,0.2921,32.5589,1,Bukedde Online,Subnational,"Around 11 February 2021 (as reported), residents of Ndeeba (Kampala Capital City, Kampala) protested against the government and demanded of them not to misuse tax money.",0,crowd size=no report,1719274346
UGA6569,2021-02-11,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),,Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Kampala,Kampala,Rubaga Division,Kasubi,0.3292,32.5533,1,Bukedde Online,Subnational,"Around 11 February 2021 (as reported), residents of Kasubi (Kampala Capital City, Kampala) protested against the government inaction in helping the population during the last heavy rain flooding, which reportedly left 3 children dead.",0,crowd size=no report,1719274346
UGA6570,2021-02-11,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),Students (Uganda),Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Kampala,Kampala,Kawempe Division,Makerere University,0.3333,32.5667,1,Chimp Reports,National,"On 11 February 2021, students of Makerere University (Kampala Capital City, Kampala) protested against the ineffective online lessons and teaching method as well as increased cost by the University administration.",0,crowd size=no report,1719274346
UGA6566,2021-02-10,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),,Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Napak,Bokora,Lokopo,Napak,2.3724,34.2482,1,Independent (Uganda); URN (Uganda),National,"Around 10 February 2021 (week of), residents of Napak (Bokora, Napak) held a peaceful demonstration over the increased insecurity in the district.",0,crowd size=no report,1667868636
UGA6563,2021-02-10,2021,2,Political violence,Battles,Armed clash,Unidentified Armed Group (Uganda),,Political militia,Military Forces of Uganda (1986-),,State forces,State forces-Political militia,,800,Eastern Africa,Uganda,Kampala,Kampala,Nakawa Division,Banda,0.3428,32.6361,1,Bukedde Online,Subnational,"Around 10 February 2021 (as reported), a soldier was reportedly shot dead and then hung on a tree in Banda (Kampala capital City, Kampala). The reason of his death is still unclear.",1,,1715049812
UGA6565,2021-02-10,2021,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Moroto,Moroto,Northern Division,Moroto,2.5329,34.6575,1,Independent (Uganda); URN (Uganda),National,"Around 10 February 2021 (as reported), unidentified armed people in attacked civilians in Moroto (Moroto Municipality, Moroto), killing several people coded as 3.",3,,1736846020
UGA6564,2021-02-10,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),Teachers (Uganda),Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Kabale,Kabale,Northern Division,Kabale,-1.2483,29.9897,1,Chimp Reports,National,"On 10 February 2021, a group of nursery teachers in Kabale district of the Association of Early Childhood Workers Kabale protested in front of the district offices in Kabale (Kabale Municipality, Kabale), asking for the reopening of pre-primary schools in the country.",0,crowd size=no report,1737435638
UGA6574,2021-02-10,2021,2,Political violence,Riots,Mob violence,Rioters (Uganda),Labor Group (Uganda); Vigilante Group (Uganda),Rioters,Civilians (Uganda),,Civilians,Rioters-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Zombo,Okoro,Paidha Town Council,Amonyu,2.4167,30.9833,2,URN (Uganda),National,"Around 10 February 2021 (week of), a mob, including businessmen, killed 6 suspected thieves and set several houses on fire in Cana village, coded to Amonyu (Okoro, Zombo).",6,crowd size=no report,1739238852
UGA6562,2021-02-09,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,,,,Rioters only,,800,Eastern Africa,Uganda,Rubanda,Rubanda,Ruhija,Ruhija,-1.0412,29.7882,2,New Vision (Uganda),National,"On 9 February 2021, following the murder of a woman by her husband, an angry mob burnt five houses belonging to the suspect's father and brothers in Kitari cell, Kashekyera parish, Ruhija sub-county, coded to Ruhija (Rubanda, Rubanda).",0,crowd size=no report,1667868636
UGA8009,2021-02-09,2021,1,Strategic developments,Strategic developments,Looting/property destruction,ADF: Allied Democratic Forces,,Rebel group,Civilians (India),,Civilians,Rebel group-Civilians,,800,Eastern Africa,Uganda,Kampala,Kampala,Central Division,Kampala,0.3156,32.5656,1,New Vision (Uganda),National,"Looting: On 9 February 2021, ADF stole 100.000 Euro from an Indian businessman in Kampala (Kampala, Central). The money was used to finance ADF activities.",0,,1719274346
UGA6561,2021-02-09,2021,1,Political violence,Violence against civilians,Attack,Karamojong Ethnic Militia (Uganda),,Identity militia,Civilians (Uganda),,Civilians,Identity militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Abim,Labwor,Abim,Abim,2.7333,33.6667,3,Independent (Uganda); URN (Uganda),National,"On 9 February 2021, a resident of Aroo village in Barlyech parish, coded to Abim (Labwor, Abim) was shot dead by suspected Karimojong warriors.",1,,1739238852
UGA6560,2021-02-08,2021,1,Political violence,Battles,Armed clash,Military Forces of Uganda (1986-),,State forces,Jie Ethnic Militia (Uganda),Pastoralists (Uganda),Identity militia,State forces-Identity militia,,800,Eastern Africa,Uganda,Kotido,Jie,Nakapelimoru,Nakapelimoru,3.0072,34.1983,2,URN (Uganda); Independent (Uganda),National,"On 8 February 2021, UPDF soldiers shot dead a suspected Jie cattle rustler in Nakapelimoru sub county, coded to Nakapelimoru, (Jie, Kotido) and recovered 158 cattle, 300 goats and an unspecified number of sheep.",1,,1667868636
UGA6558,2021-02-08,2021,2,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,Civilians (Uganda),,Civilians,Rioters-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kampala,Kampala,Makindye Division,Makindye,0.2833,32.5833,1,Chimp Reports,National,"Around 8 February 2021 (as reported), a man was found dead in the Kikajjo zone of Makindye (Kampala Capital City, Kampala) suspected to have been killed a vigilante mob in the area.",1,crowd size=no report,1736846020
